id,content
40,"Think of a number, then subtract 5, next divide by 8, next add 4, and finally multiply by 7. Jo says you can write this as: 7((n-5)/8 + 4) Paul says you can write this as: 7((n-5) ÷ 8) + 4 Who is correct? A. Only Jo, B. Only Paul, C. Both Jo and Paul, D. Neither is correct"
41,"Which length do you not need when calculating the area of the parallelogram? A. a, B. b, C. c, D. You need them all"
42,"4/9 of a litre of paint can cover 1 m². What area can 4 litres of paint cover? A. 4m², B. 9 m², C. 16/9 m², D. 36/16 m²"
43,"Which of these is not a factor of 36? A. 1, B. 8, C. 9, D. 36"
44,"Jo and Paul are arguing about the diagram on the right. Jo says it shows: p + q < 90° Paul says it shows: p = q Who is correct? A. Only Jo, B. Only Paul, C. Both Jo and Paul, D. Neither is correct"
45,"Which number is 5 greater than −2.6? A. -7.4, B. 2.6, C. 2.4, D. -2.1"
46,"Tom and Katie are trying to write calculations based on the diagram on the left. Tom says: Double negative six is negative twelve. 2 × (−6) = −12 Katie says: One half of negative 12 is negative 6. (−12) ÷ 1/2 = −6 Whose calculation is correct? A. Only Tom, B. Only Katie, C. Both Tom and Katie, D. Neither is correct"
47,"What is the size of angle n? A. 132°, B. 142°, C. 102°, D. 312°"
48,"Point A is reflected in the line y = 4. What are the coordinates of the new point? A. (2, 4), B. (6, 6), C. (2, 2), D. (2, 1)"
49,"Tom and Katie are arguing about angle relationships on parallel lines. Tom says allied (co-interior) angles are equal. Katie says corresponding angles are equal. Who is correct? A. Only Tom, B. Only Katie, C. Both Tom and Katie, D. Neither is correct"
50,"Tom and Katie are arguing about -5 and 3. Tom says: -5 > 3 Katie says: the absolute value of -5 is greater than the absolute value of 3 Who is correct? A. Only Tom, B. Only Katie, C. Both Tom and Katie, D. Neither is correct"
51,"Here is the 1st shape in a sequence: Here is the 4th shape: Which of the following expressions would correctly give the number of dots in the nth shape in the sequence? A. 4n - 1, B. 4n + 1, C. n + 4, D. n + 1"
52,"In which region does 6 belong? A. Factors of 30, B. Factors of 30 and Multiples of 12, C. Multiples of 12, D. Outside both circles"
53,"Amal is trying to work out the answer to 88 × 15 Lines 1 and 2 of her working out are shown. Which of the following possible next steps would help to make this calculation easier? A. (22 × 60), B. (11 × 2) × (19), C. (11 × 2) × (4 × 15), D. (11 × 15) × (2 × 4)"
54,"Jo and Paul are talking about equations they can write based on the equation on the right. 4c = d Jo says you could write: 4c - 12 = d - 4 Paul says you could write: 12c = 4d Who is correct? A. Only Jo, B. Only Paul, C. Both Jo and Paul, D. Neither is correct"
55,"This is a number from the Mayan number system. What number is it? A. 6, B. 110, C. 60, D. 120"
56,"If these two dashed lines are parallel, what size must angle q be? A. 125°, B. 65°, C. 55°, D. Not enough information"
57,"a = 0.6 b = 0.4 What is the value of ab? A. 0.64, B. 0.24, C. 1.0, D. 2.4"
58,"What fraction of a full circle is a 150° sector? A. 5/12, B. 1/3, C. 1/150, D. 1/15"
59,"The shaded numbers on this grid are the multiples of... A. 2, B. 4, C. 8, D. 12"
60,"Tom and Katie are arguing about powers. Tom says 2^6 = 4^3 Katie says 2^6 = 8^2 Who is correct? A. Only Tom, B. Only Katie, C. Both Tom and Katie, D. Neither is correct"
61,"a = 0.4 b = 0.3 What is the value of ab²? A. 0.36, B. 0.24, C. 0.0144, D. 0.036"
62,"The blue shape is rotated 90° clockwise about (3,0). Which shape gives the correct answer? A. A, B. B, C. C, D. D"
63,"Points P, Q and R are equally spaced along the line segment, as shown in the sketch. The coordinates of P and R are marked on the diagram. What are the coordinates of Q? A. (-1, -1), B. (-2, -3), C. (-1, -2), D. (-1, -1.5)"
64,"How many pairs of parallel sides does this shape have? A. 0, B. 1, C. 2, D. 4"
65,"Which of these is not a factor of 18? A. Thirty-six, B. Six, C. Nine, D. Eighteen"
66,"Tom and Katie are arguing about how to calculate the total sum of interior angles in this trapezium. Tom says the total is 360° because it is a quadrilateral. Katie says a triangle totals 180° and a quadrilateral totals 360°, so the total is 540°. Who is correct? A. Only Tom, B. Only Katie, C. Both Tom and Katie, D. Neither is correct"
67,"Shape P is rotated 180° through the origin. Where will the red point be on the rotated shape? A. A, B. B, C. C, D. D"
68,"Jo and Paul are arguing about powers. Jo says there is no value of m that means 3^m is even. Paul says there is no value of n that means 4^n ends in 0. Who is correct? A. Only Jo, B. Only Paul, C. Both Jo and Paul, D. Neither is correct"
69,"\( \frac{2 + 10 \times 3}{4} = \) A. 9.5, B. 8, C. 30.5, D. 9"
70,"Shape P is rotated 180° through the origin. Where will the red point be on the rotated shape? A. A, B. B, C. C, D. D"
71,"\(\frac{1}{3} \times (-6) =\) A. -18, B. -\(\frac{6}{18}\), C. -2, D. -\(\frac{1}{18}\)"
72,"This is a number from the Mayan number system. What number is it? A. 13, B. 23, C. 3, D. 5"
73,"Calculate 1/5 ÷ 2 A. 2/5, B. 10, C. 1/10, D. 5/2"
74,"What is the area of this shape? A. 3, B. 3.5, C. 4, D. Not enough information"
75,"If 9 is a factor of a number, then another factor of that number must be... A. 3, B. 4 and 5, C. 18, D. Impossible to say"
76,"Which of the following statements is true when n = -2? A. 6n > n + 6, B. 6n < n + 6, C. 6n = n + 6, D. Not enough information"
77,"Tom and Katie are arguing about how to count the number of dots in a Pattern 20. Tom does: 4 × 20 + 2 Katie does: 4 × (20 + 2) − 6 Who is correct? A. Only Tom, B. Only Katie, C. Both Tom and Katie, D. Neither is correct"
78,"Which image completes a symmetric figure on the Geo board? A. Image A showing a symmetric figure on a Geo board, B. Image B showing a symmetric figure on a Geo board, C. Image C showing a symmetric figure on a Geo board, D. Image D showing a symmetric figure on a Geo board"
79,"Which number is 2 greater than −1.6? A. 0.4, B. 0.6, C. -3.6, D. -1.4"
80,"Which of the following two calculations are represented by the arrow above? A. 10 - 2 = 8 10 + 8 = -2, B. -2 + 10 = 8 8 - 10 = -2, C. -2 + 8 = 10 -2 - 8 = -10, D. -2 - 10 = 8 8 + 10 = -2"
81,"Work out: \frac{5}{12} - \frac{1}{4} A. \frac{2}{12), B. \frac{1}{10), C. \frac{4}{12), D. \frac{4}{8)"
82,"Which expression should replace the star in the addition pyramid? A. 4a - 3b, B. -2ab, C. 4a - 4b, D. 2a - b"
83,"Tom and Katie are arguing about the size of the marked angle. Tom says it is 150° Katie says it is 210° Who is correct? A. Only Tom, B. Only Katie, C. Both Tom and Katie, D. Neither is correct"
84,"Tom and Katie are arguing about alternate angles. Tom says angles p and q are alternate. Katie says angles p and q are equal. Who is correct? A. Only Tom, B. Only Katie, C. Both Tom and Katie, D. Neither is correct"
85,"ABCD is a trapezium where AB is parallel to CD. For which of the diagrams can you conclude that Angle ABC is equal to Angle BAD? A., B., C., D."
86,"In which region does 72 belong? A. Multiples of 8, B. Multiples of 8 and 9, C. Multiples of 9, D. Neither multiples of 8 nor 9"
87,"After their evening meal, Jack and Becky both look at their watches. Jack says the time is 7.45 pm Becky says the time is 06:45 Who is correct? A. Only Jack, B. Only Becky, C. Both Jack and Becky are correct, D. Both Jack and Becky are incorrect"
88,"""Common multiples of 2 and 5 are also multiples of 25"" Is this statement... A. always true, B. sometimes true, C. never true, D. Impossible to say"
89,"How many degrees are there in three-quarters of a turn? A. 75°, B. 90°, C. 180°, D. 270°"
90,"a = 4 b = 3 ab ★ a + b What symbol should replace the star? A. >, B. <, C. =, D. Need more information"
91,"5a - 2b = A. 3 - a - b, B. -3ab, C. 3ab, D. Cannot be simplified"
92,"Which of the following calculations would correctly work out the area of the shaded section? A. 8 × 20 − 8 × 6, B. 8 × 20 + 8 × 6, C. 8 × 14 − 8 × 6, D. 8 × 14 + 8 × 6"
93,"Which calculation could the following diagram represent an efficient way of doing? A. 34 × 10, B. 34 × 5, C. (2 × 17) + (2 × 5), D. 17 × 5"
94,"Jo and Paul are arguing about unique triangles. Jo says you can construct only one triangle when you know the lengths of all three sides. Paul says you can construct only one triangle when you know the values of all three angles. Who is correct? A. Only Jo, B. Only Paul, C. Both Jo and Paul, D. Neither is correct"
95,"Construct the following triangle. Measure Angle ACB. What is its value? A. 76°, B. 47°, C. 58°, D. 117°"
96,"What is 4 written as a fraction? A. 4/1, B. 1/4, C. 4/4, D. You cannot write whole numbers as fractions"
97,"Using the key on the right, which of the following expressions would give you the longest length? A. 2r, B. 3p, C. 2p + q, D. 2q"
98,"What is the lowest common multiple of 12 and 15? A. 180, B. 60, C. 15, D. 3"
99,"Which of the following fractions is the arrow pointing to? A. 53/100, B. 13/20, C. 8/10, D. 28/50"
100,"This is the first row of a factor tree. What number should replace the question mark? A. 8, B. 12, C. 21, D. 72"
101,"Tom and Katie are arguing about this ring of 12 equally spaced dots. Tom says you can connect dots to make a regular hexagon. Katie says you can connect dots to make a regular octagon. Who is correct? A. Only Tom, B. Only Katie, C. Both Tom and Katie, D. Neither is correct"
102,"What number should replace ❤️ in the Venn diagram? A. 3, B. 5, C. 30, D. Impossible to say without more information"
103,"(-3) × (-1) = A. -4, B. 4, C. -3, D. 3"
104,"What number should replace ★ in the Venn diagram? A. 6, B. 12, C. 36, D. 108"
105,"What is the size of angle p? A. 55°, B. 45°, C. 100°, D. Not enough information"
106,"Tom and Katie are talking about angle relationships. Tom says vertically opposite angles are equal. Katie says for parallel lines, alternate angles are equal. Who is correct? A. Only Tom, B. Only Katie, C. Both Tom and Katie, D. Neither is correct"
107,"If each square on the grid is 1/4 cm by 1/4 cm, what is the area of the triangle? A. 3 cm², B. 3/16 cm², C. 3/4 cm², D. 3/8 cm²"
108,"Which of these fractions could not be placed between the fractions marked on the number line? A. 25/100, B. 2/6, C. 13/24, D. 1/5"
109,"What is the area of the rectangle marked P? A. 3/8 m², B. 1/3 m², C. 1/2 m², D. 5/4 m²"
110,"The line segment is one side of a square. Jo says a vertex of the square could be (-2, 4). Paul says a vertex of the square could be (1, 5). Who is correct? A. Only Jo, B. Only Paul, C. Both Jo and Paul, D. Neither is correct"
111,"What are the two missing numbers? A. -5 and 5, B. -11 and 5, C. -11 and 6, D. -5 and 11"
112,"If each square on the grid is 1/5 cm by 1/5 cm, what is the area of the triangle? A. 12/25 cm², B. 3/2 cm², C. 6/25 cm², D. 6 cm²"
113,"Work out: \( \frac{7}{15} - \frac{2}{5} \) A. \( \frac{5}{10} \), B. \( \frac{5}{15} \), C. \( \frac{2}{13} \), D. \( \frac{1}{15} \)"
114,"What is a third of a seventh? A. 7/3, B. 1/10, C. 1/21, D. 3/7"
115,"2/7 × ? = 1 A. 5/7, B. 7/2, C. 2/7, D. 5"
116,"If these two dashed lines are parallel, what size must angle q be? A. 79°, B. 101°, C. 111°, D. Not enough information"
117,"What is the width of each of the intervals on the number line? A. 4, B. 7/3, C. 4/3, D. 10/3"
118,"8w < ... Using the diagram, which of the following correctly completes the inequality above? p, g, r and w are positive numbers. A. 2p, B. 3r, C. 4r, D. 3g"
119,"a = 4, b = 3, a^b star b^a, What symbol should replace the star? A. >, B. <, C. =, D. Need more information"
120,"a = 1, b = 4 (-a)^b ☆ -b^a What symbol should replace the star? A. >, B. <, C. =, D. Need more information"
121,"How many times does 3/5 go into 15? A. 45/75, B. 75, C. 9, D. 25"
122,"a = 1 b = 4 a - b ★ b - a What symbol should replace the star? A. >, B. <, C. =, D. Need more information"
123,"a = 1, b = 4 4a/b ☆ b/a What symbol should replace the star? A. >, B. <, C. =, D. Need more information"
124,"Jo and Paul are arguing about the best way to count the number of squares in Pattern 15. Jo does: 15 × 3 + 4 Paul does: (15 + 2) × 3 - 4 Who is correct? A. Only Jo, B. Only Paul, C. Both Jo and Paul, D. Neither is correct"
125,"What is the perimeter of this shape? A. 14, B. 15, C. 8, D. 10"
126,"If $ A = 2^3 \times 3^3 \times 5^2 $ then $ 10A $ expressed as a product of its primes is ... A. 2^4 \times 3^3 \times 5^3, B. 2^3 \times 3^3 \times 5^4, C. 20^3 \times 3^3 \times 5^2, D. 2^3 \times 3^3 \times 5^0^3"
127,"\frac{1}{20} of 7 = ? \times 7 A. 0.5, B. 0.05, C. 0.2, D. 20"
128,"(-\frac{6}{7})^{2} = ? A. \frac{36}{49), B. \frac{12}{14), C. \frac{36}{7), D. \frac{6}{49)"
129,"Harvey has three cards with numbers written on them. ""I have a cube number, a prime number and a multiple of 9."" Which set of numbers could Harvey have? A. 8, 7, 3, B. 1, 2, 56, C. 1, 2, 9, D. 8, 1, 36"
130,"Line segment P joins up (1,1) and (3,6). Line segment Q joins up (3,1) and (7,3). Which line segment is longer? A. P, B. Q, C. They are the same length, D. We need more information"
131,"The fractions in the two circles below add to give the fraction in the circle above. What should replace the question mark? A. 11/35, B. 31/35, C. 1/2, D. 1/35"
132,"Without measuring, what can you say about the area of this shape? A. The area is less than 12, B. The area is more than 12, C. The area is equal to 12, D. It is impossible to say without measuring"
133,"3, 9, 18 These are some of the factors of... A. 3, B. 9, C. 18, D. 27"
134,"Which of the following calculations is represented on the thermometer? A. -3 + 9 = 6, B. 3 + 6 = 9, C. 6 + 9 = -3, D. -3 + 6 = 9"
135,"What can you say about the areas of the two squares? A. The blue square has a larger area, B. The red square has a larger area, C. The areas are the same, D. It is impossible to say without measuring"
136,"Eliza has used 2/5 of her train track set to build a circuit. This used 40 pieces of track. How many pieces are in Eliza's train track set altogether? Which of the following calculations would give the correct answer to this problem? A. 40 × 2/5, B. 2/5 ÷ 40, C. 40 ÷ 5/2, D. 40 ÷ 2/5"
137,"Jo and Paul are trying to draw shapes with perimeter 4(p + q) Jo draws: Paul draws: Who is correct? A. Only Jo, B. Only Paul, C. Both Jo and Paul, D. Neither is correct"
138,"3n + 4n = A. 7nn, B. 12n², C. 7n, D. Cannot be simplified"
139,"What is 3/8 as a decimal? A. 0.3, B. 0.38, C. 0.375, D. None of these"
140,"What should replace the question mark? A. 4/6, B. 4/3, C. 4/2, D. 4"
141,"Jo and Paul are arguing prime factors. Jo says 1 is a prime factor of 24. Paul says 2 is a prime factor of 24. Who is correct? A. Only Jo, B. Only Paul, C. Both Jo and Paul, D. Neither is correct"
142,"Tom and Katie are arguing about statements that can be made about the equation on the right. Tom says this is always true: 2x > y - 4 Katie says this is always true: x > y - 5 Who is correct? A. Only Tom, B. Only Katie, C. Both Tom and Katie, D. Neither is correct"
143,"The sum of two bricks is equal to the brick above. What number should replace the star? A. -6, B. -4, C. 6, D. 4"
144,"= 1/4 of ... A. 4x3 grid with 1 square shaded, B. Two 3x4 grids with all squares shaded, C. Two 3x4 grids, one with all shaded, one with 2 squares unshaded, D. Two 3x4 grids, one with all shaded, one with 3 squares unshaded"
145,"Jo and Paul are trying to write different calculations for the diagram on the left. Jo writes: 4 × (−5) = −20 Paul writes: (−20) / (−4) = −5 Who is correct? A. Only Jo, B. Only Paul, C. Both Jo and Paul, D. Neither is correct"
146,"Jo and Paul are talking about constructing triangles. Jo says you need 2 side lengths in order to construct a triangle. Paul says you need a protractor to construct a triangle. Who is correct? A. Only Jo, B. Only Paul, C. Both Jo and Paul, D. Neither is correct"
147,"Jo and Paul are discussing 3² × 4². Jo says 3² × 4² = 12⁴. Paul says 3² × 4² = 12². Who is correct? A. Only Jo, B. Only Paul, C. Both Jo and Paul, D. Neither is correct"
148,"4 + 1 < p Using the diagram on the right, is the expression above... Diagram not to scale A. always true, B. sometimes true, C. never true, D. Need more information"
149,"Tom and Katie are arguing about multiplication and division. Tom says when you multiply a whole number by a positive fraction smaller than 1, the answer is always smaller than the original whole number. Katie says when you divide a whole number by a positive fraction smaller than 1, the answer is always bigger than the original whole number. Who is correct? A. Only Tom, B. Only Katie, C. Both Tom and Katie, D. Neither is correct"
150,"Which expression should replace the star in the addition pyramid? A. 4a - 6b, B. ab, C. 4a - 4b, D. 6a - 6b"
151,"Jo and Paul are talking about how to transform shape P to shape Q. Jo says you can do it using a single translation. Paul says you can do it using two reflections. Who is correct? A. Only Jo, B. Only Paul, C. Both Jo and Paul, D. Neither is correct"
152,"Tom and Katie are arguing about the best way to count the number of dots in a Pattern 15. Tom does: 15 × 4 + 2 Katie does: (15 + 2) × 4 − 6 Who is correct? A. Only Tom, B. Only Katie, C. Both Tom and Katie, D. Neither is correct"
153,"Convert 2 1/5 to an improper fraction. A. 11/5, B. 3/5, C. 21/5, D. 11/10"
154,"In which region does 69 belong? A. Multiples of 6, B. Multiples of 6 and 9, C. Multiples of 9, D. Neither multiples of 6 nor 9"
155,"This is an isosceles triangle. Calculate the size of angle p. A. 56°, B. 68°, C. 124°, D. Not enough information"
156,"What is the area of this shape? A. 3, B. 5, C. 4.5, D. 6"
157,"Tom and Katie are arguing about the factors of 9 Tom says 1 is a factor of 9 Katie says 9 is a factor of 9 Who is correct? A. Only Tom, B. Only Katie, C. Both Tom and Katie, D. Neither is correct"
158,"(-2)^4 = A. -16, B. -8, C. 16, D. 8"
159,"p - 4 < 1 Using the diagram on the right, is the expression above... Diagram not to scale A. always true, B. sometimes true, C. never true, D. Need more information"
160,"2g + 3r = ... Using the diagram, which of the following correctly completes the equation above? A. 14w, B. 6p, C. 3p, D. 10w"
161,"1 + (-2) × 5 = A. -9, B. -11, C. -5, D. -15"
162,"What is the equation of this line of symmetry? A. x = -3.5, B. x = -2, C. x = -1, D. x = 1"
163,"Which of these is not a factor of 60? A. Fifteen, B. Twelve, C. Sixty, D. Sixteen"
164,"Tom and Katie are arguing about subtracting fractions. Tom writes 9/13 - 9/5 = 9/8 Katie writes 9/13 - 5/13 = 4/13 Who is correct? A. Only Tom, B. Only Katie, C. Both Tom and Katie, D. Neither is correct"
165,"Is the following statement always true, sometimes true, or never true? One more than a multiple of 3 is a multiple of 4 A. Always true, B. Sometimes true, C. Never true, D. Not enough information to decide"
166,"Jo and Paul are arguing about how to solve this problem: 1/4 × (1/3)^3 = ? Jo says a correct step in the solution is this: 1/4 × 1/27 = ? Paul says a correct step in the solution is this: (1/12)^3 = ? Who is correct? A. Only Jo, B. Only Paul, C. Both Jo and Paul, D. Neither is correct"
167,"Here are 3 vertices of a rectangle: (0,3), (4,-1), (2,-3), What are the coordinates of the 4th vertex? A. (0,1), B. (4,1), C. (-2,1), D. (-2,-3)"
168,"This is the first row of a factor tree. What number should replace the question mark? A. 45, B. 144, C. 24, D. 16"
169,"Which of the following numbers could replace the shapes? A. ▲ = 8 □ = 12, B. ▲ = 12 □ = 8, C. ▲ = 8 □ = 4, D. ▲ = 4 □ = 8"
170,"Using the key on the right, which of the following expressions give the perimeter of this shape? A. 4p + 3q, B. 7pq, C. 3p + 4q, D. 3(p + q)"
171,"Which angle is corresponding to angle p? A. A, B. B, C. C, D. D"
172,"Tara has designed her own flag. The purple section has two pairs of parallel sides. What's the area of the purple section? A. 12 cm², B. 24 cm², C. 28 cm², D. 40 cm²"
173,"Jane has a quarter of a 6 litre bottle of lemonade. She pours all of it into an empty 4 litre tub. What fraction of the tub now has lemonade in it? A. 4/7, B. 1/4, C. 4/6, D. 3/8"
174,"Here are 3 vertices of a rectangle: (-6,-2), (-3,2), (0,0), What are the coordinates of the 4th vertex? A. (-6,-4), B. (-3,-2), C. (-3,-4), D. (-2,-3)"
175,"The perimeter of this isosceles triangle is 4/5. Find the length of the side labelled with an x. A. 1/3, B. 2/15, C. 7/15, D. There is no possible answer"
176,"Describe the movements to get from point V to point W A. West 4 squares, south 3 squares, B. West 5 squares, south 3 squares, C. East 5 squares, north 3 squares, D. East 5 squares, north 3 squares"
177,"-5 × 4 = -12 - A. -8, B. 8, C. -32, D. 32"
178,"What number belongs in the box? □ + 6 = 4 A. -1, B. 2, C. 10, D. -2"
179,"\frac{3}{5} \times ? = \frac{1}{2} A. \frac{2}{3}, B. \frac{5}{6}, C. \frac{3}{10}, D. There are no values that make this calculation work"
180,"\(\frac{1}{3} \times 3 = ?\) A. 3, B. \(\frac{1}{9}\), C. \(\frac{3}{9}\), D. 1"
181,"Shape P is rotated 180° through the origin. Where will the red point be on the rotated shape? A. A, B. B, C. C, D. D"
182,"Jasmine goes to holiday club which starts at 9:45 am The club finishes at 4:00 pm How many hours does she spend at club? A. 7.25, B. 6.15, C. 6.25, D. 7.15"
183,"Which of the following calculations would correctly work out the difference between the temperature at 1pm on Monday and the temperature at 1am on Thursday? A. 5 - 2, B. 5 + (-2), C. 5 - (-2), D. (-2) + 5"
184,"a = 4 b = 3 a - b ★ b - a What symbol should replace the star? A. >, B. <, C. =, D. Need more information"
185,"Which symbols make the following statement correct? -2 ___ -9 ___ -5 A. > >, B. < <, C. < >, D. > <"
186,"(-0.2)÷(-1/2) = A. -2/5, B. 2/5, C. -1/10, D. 1/10"
187,"7 × 12 = 32 + 52 4 × 7 × 12 = ★ What should replace the star to preserve equality? A. 4(32 + 52), B. 32 + 52 × 4, C. 4 × 32 + 52, D. 32 + 52 + 4"
188,"Tom and Katie are arguing about a number which has been expressed in the following way: 3^4 × 5^2 × 7^2 Tom says 3 is a factor of the number. Katie says 9 is a factor of the number. Who is correct? A. Only Tom, B. Only Katie, C. Both Tom and Katie, D. Neither is correct"
189,"Here is the completed Venn diagram. What calculation works out the highest common factor of 66 and 60? A. 11 × 2 × 3 × 2 × 5, B. 2 × 3, C. 11 × 2 × 5, D. 11 × 2 × 3 × 5"
190,"Which of the following numbers is a factor of 60 and a multiple of 6... A. 3, B. 12, C. 20, D. 120"
191,"Tom and Katie are arguing about how to reflect the object in the line of reflection. Who reflects it correctly? A. Only Tom, B. Only Katie, C. Both Tom and Katie, D. Neither is correct"
192,"Tom and Katie are arguing about multiplication and division. Tom says when you multiply, the answer is always bigger than what you started with. Katie says when you divide, the answer is always smaller than what you started with. Who is correct? A. Only Tom, B. Only Katie, C. Both Tom and Katie, D. Neither is correct"
193,"Tom and Katie are arguing about different ways of writing the expression on the right. Tom says you could write it as: 2(6g + 10) Katie says you could write it as: 4(3g + 5) Who is correct? A. Only Tom, B. Only Katie, C. Both Tom and Katie, D. Neither is correct"
194,"Which combination of mathematical instruments has been used to construct this triangle with lengths shown? A. Protractor Compass, B. Ruler Compass, C. Ruler Protractor Compass, D. Ruler Protractor"
195,"5 × (−4) = A. −9, B. 9, C. 20, D. −20"
196,"Which of the following symbols should replace the star in terms of length? 5p ★ q + r A. >, B. <, C. =, D. Need more information"
