exercise_id,QuestionId,text
44,44,Jo and Paul are arguing about the diagram on the right. Jo says it shows: p + q < 90° Paul says it shows: p = q Who is correct? Only Jo Only Paul Both Jo and Paul Neither is correct
45,45,Which number is 5 greater than −2.6? -7.4 2.6 2.4 -2.1
46,46,Tom and Katie are trying to write calculations based on the diagram on the left. Tom says: Double negative six is negative twelve. 2 × (−6) = −12 Katie says: One half of negative 12 is negative 6. (−12) ÷ 1/2 = −6 Whose calculation is correct? Only Tom Only Katie Both Tom and Katie Neither is correct
47,47,What is the size of angle n? 132° 142° 102° 312°
48,48,"Point A is reflected in the line y = 4. What are the coordinates of the new point? (2, 4) (6, 6) (2, 2) (2, 1)"
49,49,Tom and Katie are arguing about angle relationships on parallel lines. Tom says allied (co-interior) angles are equal. Katie says corresponding angles are equal. Who is correct? Only Tom Only Katie Both Tom and Katie Neither is correct
50,50,Tom and Katie are arguing about -5 and 3. Tom says: -5 > 3 Katie says: the absolute value of -5 is greater than the absolute value of 3 Who is correct? Only Tom Only Katie Both Tom and Katie Neither is correct
51,51,Here is the 1st shape in a sequence: Here is the 4th shape: Which of the following expressions would correctly give the number of dots in the nth shape in the sequence? 4n - 1 4n + 1 n + 4 n + 1
52,52,In which region does 6 belong? Factors of 30 Factors of 30 and Multiples of 12 Multiples of 12 Outside both circles
53,53,Amal is trying to work out the answer to 88 × 15 Lines 1 and 2 of her working out are shown. Which of the following possible next steps would help to make this calculation easier? (22 × 60) (11 × 2) × (19) (11 × 2) × (4 × 15) (11 × 15) × (2 × 4)
54,54,Jo and Paul are talking about equations they can write based on the equation on the right. 4c = d Jo says you could write: 4c - 12 = d - 4 Paul says you could write: 12c = 4d Who is correct? Only Jo Only Paul Both Jo and Paul Neither is correct
55,55,This is a number from the Mayan number system. What number is it? 6 110 60 120
56,56,"If these two dashed lines are parallel, what size must angle q be? 125° 65° 55° Not enough information"
57,57,a = 0.6  b = 0.4 What is the value of ab? 0.64 0.24 1.0 2.4
58,58,What fraction of a full circle is a 150° sector? 5/12 1/3 1/150 1/15
59,59,The shaded numbers on this grid are the multiples of... 2 4 8 12
60,60,Tom and Katie are arguing about powers. Tom says 2^6 = 4^3 Katie says 2^6 = 8^2 Who is correct? Only Tom Only Katie Both Tom and Katie Neither is correct
61,61,a = 0.4    b = 0.3 What is the value of ab²? 0.36 0.24 0.0144 0.036
62,62,"The blue shape is rotated 90° clockwise about (3,0). Which shape gives the correct answer? A B C D"
63,63,"Points P, Q and R are equally spaced along the line segment, as shown in the sketch. The coordinates of P and R are marked on the diagram. What are the coordinates of Q? (-1, -1) (-2, -3) (-1, -2) (-1, -1.5)"
64,64,How many pairs of parallel sides does this shape have? 0 1 2 4
65,65,Which of these is not a factor of 18? Thirty-six Six Nine Eighteen
66,66,"Tom and Katie are arguing about how to calculate the total sum of interior angles in this trapezium. Tom says the total is 360° because it is a quadrilateral. Katie says a triangle totals 180° and a quadrilateral totals 360°, so the total is 540°. Who is correct? Only Tom Only Katie Both Tom and Katie Neither is correct"
67,67,Shape P is rotated 180° through the origin. Where will the red point be on the rotated shape? A B C D
68,68,Jo and Paul are arguing about powers. Jo says there is no value of m that means 3^m is even. Paul says there is no value of n that means 4^n ends in 0. Who is correct? Only Jo Only Paul Both Jo and Paul Neither is correct
69,69,\( \frac{2 + 10 \times 3}{4} = \) 9.5 8 30.5 9
70,70,Shape P is rotated 180° through the origin. Where will the red point be on the rotated shape? A B C D
71,71,\(\frac{1}{3} \times (-6) =\) -18 -\(\frac{6}{18}\) -2 -\(\frac{1}{18}\)
72,72,"This is a number from the Mayan number system.
What number is it? 13 23 3 5"
73,73,"Calculate

1/5 ÷ 2 2/5 10 1/10 5/2"
74,74,What is the area of this shape? 3 3.5 4 Not enough information
75,75,"If 9 is a factor of a number, then another factor of that number must be... 3 4 and 5 18 Impossible to say"
76,76,Which of the following statements is true when n = -2? 6n > n + 6 6n < n + 6 6n = n + 6 Not enough information
77,77,Tom and Katie are arguing about how to count the number of dots in a Pattern 20. Tom does: 4 × 20 + 2 Katie does: 4 × (20 + 2) − 6 Who is correct? Only Tom Only Katie Both Tom and Katie Neither is correct
78,78,Which image completes a symmetric figure on the Geo board? Image A showing a symmetric figure on a Geo board Image B showing a symmetric figure on a Geo board Image C showing a symmetric figure on a Geo board Image D showing a symmetric figure on a Geo board
79,79,Which number is 2 greater than −1.6? 0.4 0.6 -3.6 -1.4
80,80,"Which of the following two calculations are represented by the arrow above? 10 - 2 = 8
10 + 8 = -2 -2 + 10 = 8
8 - 10 = -2 -2 + 8 = 10
-2 - 8 = -10 -2 - 10 = 8
8 + 10 = -2"
81,81,Work out: \frac{5}{12} - \frac{1}{4} \frac{2}{12) \frac{1}{10) \frac{4}{12) \frac{4}{8)
82,82,Which expression should replace the star in the addition pyramid? 4a - 3b -2ab 4a - 4b 2a - b
83,83,Tom and Katie are arguing about the size of the marked angle. Tom says it is 150° Katie says it is 210° Who is correct? Only Tom Only Katie Both Tom and Katie Neither is correct
84,84,Tom and Katie are arguing about alternate angles. Tom says angles p and q are alternate. Katie says angles p and q are equal. Who is correct? Only Tom Only Katie Both Tom and Katie Neither is correct
85,85,ABCD is a trapezium where AB is parallel to CD. For which of the diagrams can you conclude that Angle ABC is equal to Angle BAD?    
86,86,In which region does 72 belong? Multiples of 8 Multiples of 8 and 9 Multiples of 9 Neither multiples of 8 nor 9
87,87,"After their evening meal, Jack and Becky both look at their watches. Jack says the time is 7.45 pm Becky says the time is 06:45 Who is correct? Only Jack Only Becky Both Jack and Becky are correct Both Jack and Becky are incorrect"
88,88,"""Common multiples of 2 and 5 are also multiples of 25"" Is this statement... always true sometimes true never true Impossible to say"
89,89,How many degrees are there in three-quarters of a turn? 75° 90° 180° 270°
90,90,a = 4    b = 3 ab ★ a + b What symbol should replace the star? > < = Need more information
91,91,5a - 2b = 3 - a - b -3ab 3ab Cannot be simplified
92,92,Which of the following calculations would correctly work out the area of the shaded section? 8 × 20 − 8 × 6 8 × 20 + 8 × 6 8 × 14 − 8 × 6 8 × 14 + 8 × 6
93,93,Which calculation could the following diagram represent an efficient way of doing? 34 × 10 34 × 5 (2 × 17) + (2 × 5) 17 × 5
94,94,Jo and Paul are arguing about unique triangles. Jo says you can construct only one triangle when you know the lengths of all three sides. Paul says you can construct only one triangle when you know the values of all three angles. Who is correct? Only Jo Only Paul Both Jo and Paul Neither is correct
95,95,Construct the following triangle. Measure Angle ACB. What is its value? 76° 47° 58° 117°
96,96,What is 4 written as a fraction? 4/1 1/4 4/4 You cannot write whole numbers as fractions
97,97,"Using the key on the right, which of the following expressions would give you the longest length? 2r 3p 2p + q 2q"
98,98,What is the lowest common multiple of 12 and 15? 180 60 15 3
99,99,Which of the following fractions is the arrow pointing to? 53/100 13/20 8/10 28/50
100,100,This is the first row of a factor tree. What number should replace the question mark? 8 12 21 72
101,101,Tom and Katie are arguing about this ring of 12 equally spaced dots. Tom says you can connect dots to make a regular hexagon. Katie says you can connect dots to make a regular octagon. Who is correct? Only Tom Only Katie Both Tom and Katie Neither is correct
102,102,What number should replace ❤️ in the Venn diagram? 3 5 30 Impossible to say without more information
103,103,(-3) × (-1) = -4 4 -3 3
104,104,What number should replace ★ in the Venn diagram? 6 12 36 108
105,105,What is the size of angle p? 55° 45° 100° Not enough information
106,106,"Tom and Katie are talking about angle relationships. Tom says vertically opposite angles are equal. Katie says for parallel lines, alternate angles are equal. Who is correct? Only Tom Only Katie Both Tom and Katie Neither is correct"
107,107,"If each square on the grid is 1/4 cm by 1/4 cm, what is the area of the triangle? 3 cm² 3/16 cm² 3/4 cm² 3/8 cm²"
108,108,Which of these fractions could not be placed between the fractions marked on the number line? 25/100 2/6 13/24 1/5
109,109,What is the area of the rectangle marked P? 3/8 m² 1/3 m² 1/2 m² 5/4 m²
110,110,"The line segment is one side of a square. Jo says a vertex of the square could be (-2, 4). Paul says a vertex of the square could be (1, 5). Who is correct? Only Jo Only Paul Both Jo and Paul Neither is correct"
111,111,What are the two missing numbers? -5 and 5 -11 and 5 -11 and 6 -5 and 11
112,112,"If each square on the grid is 1/5 cm by 1/5 cm, what is the area of the triangle? 12/25 cm² 3/2 cm² 6/25 cm² 6 cm²"
113,113,Work out: \( \frac{7}{15} - \frac{2}{5} \) \( \frac{5}{10} \) \( \frac{5}{15} \) \( \frac{2}{13} \) \( \frac{1}{15} \)
114,114,What is a third of a seventh? 7/3 1/10 1/21 3/7
115,115,2/7 × ? = 1 5/7 7/2 2/7 5
116,116,"If these two dashed lines are parallel, what size must angle q be? 79° 101° 111° Not enough information"
117,117,What is the width of each of the intervals on the number line? 4 7/3 4/3 10/3
118,118,"8w < ... Using the diagram, which of the following correctly completes the inequality above? p, g, r and w are positive numbers. 2p 3r 4r 3g"
119,119,"a = 4, b = 3, a^b star b^a, What symbol should replace the star? > < = Need more information"
120,120,"a = 1, b = 4 (-a)^b ☆ -b^a What symbol should replace the star? > < = Need more information"
121,121,How many times does 3/5 go into 15? 45/75 75 9 25
122,122,"a = 1
b = 4
a - b ★ b - a
What symbol should replace the star? >  <  =  Need more information"
123,123,"a = 1, b = 4
4a/b ☆ b/a
What symbol should replace the star? > < = Need more information"
124,124,Jo and Paul are arguing about the best way to count the number of squares in Pattern 15. Jo does: 15 × 3 + 4 Paul does: (15 + 2) × 3 - 4 Who is correct? Only Jo Only Paul Both Jo and Paul Neither is correct
125,125,What is the perimeter of this shape? 14 15 8 10
126,126,If $ A = 2^3 \times 3^3 \times 5^2 $ then $ 10A $ expressed as a product of its primes is ... 2^4 \times 3^3 \times 5^3 2^3 \times 3^3 \times 5^4 20^3 \times 3^3 \times 5^2 2^3 \times 3^3 \times 5^0^3
127,127,\frac{1}{20} of 7 = ? \times 7 0.5 0.05 0.2 20
128,128,(-\frac{6}{7})^{2} = ? \frac{36}{49) \frac{12}{14) \frac{36}{7) \frac{6}{49)
129,129,"Harvey has three cards with numbers written on them. ""I have a cube number, a prime number and a multiple of 9."" Which set of numbers could Harvey have? 8, 7, 3 1, 2, 56 1, 2, 9 8, 1, 36"
130,130,"Line segment P joins up (1,1) and (3,6). Line segment Q joins up (3,1) and (7,3). Which line segment is longer? P Q They are the same length We need more information"
131,131,The fractions in the two circles below add to give the fraction in the circle above. What should replace the question mark? 11/35 31/35 1/2 1/35
132,132,"Without measuring, what can you say about the area of this shape? The area is less than 12 The area is more than 12 The area is equal to 12 It is impossible to say without measuring"
133,133,"3, 9, 18 These are some of the factors of... 3 9 18 27"
134,134,Which of the following calculations is represented on the thermometer? -3 + 9 = 6 3 + 6 = 9 6 + 9 = -3 -3 + 6 = 9
135,135,What can you say about the areas of the two squares? The blue square has a larger area The red square has a larger area The areas are the same It is impossible to say without measuring
136,136,Eliza has used 2/5 of her train track set to build a circuit. This used 40 pieces of track. How many pieces are in Eliza's train track set altogether? Which of the following calculations would give the correct answer to this problem? 40 × 2/5 2/5 ÷ 40 40 ÷ 5/2 40 ÷ 2/5
137,137,Jo and Paul are trying to draw shapes with perimeter 4(p + q) Jo draws: Paul draws: Who is correct? Only Jo Only Paul Both Jo and Paul Neither is correct
138,138,3n + 4n = 7nn 12n² 7n Cannot be simplified
139,139,What is 3/8 as a decimal? 0.3 0.38 0.375 None of these
140,140,What should replace the question mark? 4/6 4/3 4/2 4
141,141,Jo and Paul are arguing prime factors. Jo says 1 is a prime factor of 24. Paul says 2 is a prime factor of 24. Who is correct? Only Jo Only Paul Both Jo and Paul Neither is correct
142,142,Tom and Katie are arguing about statements that can be made about the equation on the right. Tom says this is always true: 2x > y - 4 Katie says this is always true: x > y - 5 Who is correct? Only Tom Only Katie Both Tom and Katie Neither is correct
143,143,The sum of two bricks is equal to the brick above. What number should replace the star? -6 -4 6 4
144,144,"= 1/4 of ... 4x3 grid with 1 square shaded Two 3x4 grids with all squares shaded Two 3x4 grids, one with all shaded, one with 2 squares unshaded Two 3x4 grids, one with all shaded, one with 3 squares unshaded"
145,145,Jo and Paul are trying to write different calculations for the diagram on the left. Jo writes: 4 × (−5) = −20 Paul writes: (−20) / (−4) = −5 Who is correct? Only Jo Only Paul Both Jo and Paul Neither is correct
146,146,Jo and Paul are talking about constructing triangles. Jo says you need 2 side lengths in order to construct a triangle. Paul says you need a protractor to construct a triangle. Who is correct? Only Jo Only Paul Both Jo and Paul Neither is correct
147,147,Jo and Paul are discussing 3² × 4². Jo says 3² × 4² = 12⁴. Paul says 3² × 4² = 12². Who is correct? Only Jo Only Paul Both Jo and Paul Neither is correct
148,148,"4 + 1 < p Using the diagram on the right, is the expression above... Diagram not to scale always true sometimes true never true Need more information"
149,149,"Tom and Katie are arguing about multiplication and division. Tom says when you multiply a whole number by a positive fraction smaller than 1, the answer is always smaller than the original whole number. Katie says when you divide a whole number by a positive fraction smaller than 1, the answer is always bigger than the original whole number. Who is correct? Only Tom Only Katie Both Tom and Katie Neither is correct"
150,150,Which expression should replace the star in the addition pyramid? 4a - 6b ab 4a - 4b 6a - 6b
151,151,Jo and Paul are talking about how to transform shape P to shape Q. Jo says you can do it using a single translation. Paul says you can do it using two reflections. Who is correct? Only Jo Only Paul Both Jo and Paul Neither is correct
152,152,Tom and Katie are arguing about the best way to count the number of dots in a Pattern 15. Tom does: 15 × 4 + 2 Katie does: (15 + 2) × 4 − 6 Who is correct? Only Tom Only Katie Both Tom and Katie Neither is correct
153,153,Convert 2 1/5 to an improper fraction. 11/5 3/5 21/5 11/10
154,154,In which region does 69 belong? Multiples of 6 Multiples of 6 and 9 Multiples of 9 Neither multiples of 6 nor 9
155,155,This is an isosceles triangle. Calculate the size of angle p. 56° 68° 124° Not enough information
156,156,What is the area of this shape? 3 5 4.5 6
157,157,Tom and Katie are arguing about the factors of 9 Tom says 1 is a factor of 9 Katie says 9 is a factor of 9 Who is correct? Only Tom Only Katie Both Tom and Katie Neither is correct
158,158,(-2)^4 = -16 -8 16 8
159,159,"p - 4 < 1 Using the diagram on the right, is the expression above... Diagram not to scale always true sometimes true never true Need more information"
160,160,"2g + 3r = ... Using the diagram, which of the following correctly completes the equation above? 14w 6p 3p 10w"
161,161,1 + (-2) × 5 = -9 -11 -5 -15
162,162,What is the equation of this line of symmetry? x = -3.5 x = -2 x = -1 x = 1
163,163,Which of these is not a factor of 60? Fifteen Twelve Sixty Sixteen
164,164,Tom and Katie are arguing about subtracting fractions. Tom writes 9/13 - 9/5 = 9/8 Katie writes 9/13 - 5/13 = 4/13 Who is correct? Only Tom Only Katie Both Tom and Katie Neither is correct
165,165,"Is the following statement always true, sometimes true, or never true?
One more than a multiple of 3 is a multiple of 4 Always true Sometimes true Never true Not enough information to decide"
166,166,Jo and Paul are arguing about how to solve this problem: 1/4 × (1/3)^3 = ? Jo says a correct step in the solution is this: 1/4 × 1/27 = ? Paul says a correct step in the solution is this: (1/12)^3 = ? Who is correct? Only Jo Only Paul Both Jo and Paul Neither is correct
167,167,"Here are 3 vertices of a rectangle: (0,3), (4,-1), (2,-3), What are the coordinates of the 4th vertex? (0,1) (4,1) (-2,1) (-2,-3)"
168,168,This is the first row of a factor tree. What number should replace the question mark? 45 144 24 16
169,169,"Which of the following numbers could replace the shapes? ▲ = 8
□ = 12 ▲ = 12
□ = 8 ▲ = 8
□ = 4 ▲ = 4
□ = 8"
170,170,"Using the key on the right, which of the following expressions give the perimeter of this shape? 4p + 3q 7pq 3p + 4q 3(p + q)"
171,171,Which angle is corresponding to angle p? A B C D
172,172,Tara has designed her own flag. The purple section has two pairs of parallel sides. What's the area of the purple section? 12 cm² 24 cm² 28 cm² 40 cm²
173,173,Jane has a quarter of a 6 litre bottle of lemonade. She pours all of it into an empty 4 litre tub. What fraction of the tub now has lemonade in it? 4/7 1/4 4/6 3/8
174,174,"Here are 3 vertices of a rectangle: (-6,-2), (-3,2), (0,0), What are the coordinates of the 4th vertex? (-6,-4) (-3,-2) (-3,-4) (-2,-3)"
175,175,The perimeter of this isosceles triangle is 4/5. Find the length of the side labelled with an x. 1/3 2/15 7/15 There is no possible answer
176,176,"Describe the movements to get from point V to point W West 4 squares, south 3 squares West 5 squares, south 3 squares East 5 squares, north 3 squares East 5 squares, north 3 squares"
177,177,-5 × 4 = -12 - -8 8 -32 32
178,178,"What number belongs in the box?

□ + 6 = 4 -1 2 10 -2"
179,179,\frac{3}{5} \times ? = \frac{1}{2} \frac{2}{3} \frac{5}{6} \frac{3}{10} There are no values that make this calculation work
180,180,\(\frac{1}{3} \times 3 = ?\) 3 \(\frac{1}{9}\) \(\frac{3}{9}\) 1
181,181,Shape P is rotated 180° through the origin. Where will the red point be on the rotated shape? A B C D
182,182,Jasmine goes to holiday club which starts at 9:45 am The club finishes at 4:00 pm How many hours does she spend at club? 7.25 6.15 6.25 7.15
183,183,Which of the following calculations would correctly work out the difference between the temperature at 1pm on Monday and the temperature at 1am on Thursday? 5 - 2 5 + (-2) 5 - (-2) (-2) + 5
184,184,a = 4  b = 3  a - b ★ b - a  What symbol should replace the star? > < = Need more information
185,185,Which symbols make the following statement correct? -2 ___ -9 ___ -5 > > < < < > > <
186,186,(-0.2)÷(-1/2) = -2/5 2/5 -1/10 1/10
187,187,"7 × 12 = 32 + 52
4 × 7 × 12 = ★
What should replace the star to preserve equality? 4(32 + 52) 32 + 52 × 4 4 × 32 + 52 32 + 52 + 4"
188,188,Tom and Katie are arguing about a number which has been expressed in the following way: 3^4 × 5^2 × 7^2 Tom says 3 is a factor of the number. Katie says 9 is a factor of the number. Who is correct? Only Tom Only Katie Both Tom and Katie Neither is correct
189,189,Here is the completed Venn diagram. What calculation works out the highest common factor of 66 and 60? 11 × 2 × 3 × 2 × 5 2 × 3 11 × 2 × 5 11 × 2 × 3 × 5
190,190,Which of the following numbers is a factor of 60 and a multiple of 6... 3 12 20 120
191,191,Tom and Katie are arguing about how to reflect the object in the line of reflection. Who reflects it correctly? Only Tom Only Katie Both Tom and Katie Neither is correct
192,192,"Tom and Katie are arguing about multiplication and division. Tom says when you multiply, the answer is always bigger than what you started with. Katie says when you divide, the answer is always smaller than what you started with. Who is correct? Only Tom Only Katie Both Tom and Katie Neither is correct"
193,193,Tom and Katie are arguing about different ways of writing the expression on the right. Tom says you could write it as: 2(6g + 10) Katie says you could write it as: 4(3g + 5) Who is correct? Only Tom Only Katie Both Tom and Katie Neither is correct
194,194,Which combination of mathematical instruments has been used to construct this triangle with lengths shown? Protractor Compass Ruler Compass Ruler Protractor Compass Ruler Protractor
195,195,5 × (−4) = −9 9 20 −20
196,196,Which of the following symbols should replace the star in terms of length? 5p ★ q + r > < = Need more information
197,197,Which of the following is an example of associativity? 2 × 6 = 6 × 2 2 × (5 + 6) = 2 × 5 + 2 × 6 2 × (5 × 6) = (2 × 5) × 6 2 × (5 + 6) = (2 + 5) × 6
198,198,"Tom and Katie are trying to calculate the answer to 29 × 8
Tom does this: 30 × 8 − 1 × 8
Katie does this: 29 × 2 × 2 × 2
Who is correct? Only Tom Only Katie Both Tom and Katie Neither is correct"
199,199,"John's flat is on floor 4.
The gym is on floor -1.
How many floors does John need to go down to get from his flat to the gym? 5 3 6 4"
200,200,What is an expression for the perimeter of this rectangle? 2a + 2b ab a + b Not enough information
201,201,Which angle is alternate to angle p? A B C D
202,202,"After lunch, Julie and Kate both look at their watches. Julie says the time is ""twelve thirty"" Kate says the time is 13:30 Who is correct? Only Julie Only Kate Both Julie and Kate are correct Both Julie and Kate are incorrect"
203,203,What is the perimeter of this compound shape made with rectangles? 34 cm 31 cm 24 cm Not enough information
204,204,"Which set of coordinates is not on the perimeter of the rectangle? (-3, 0) (2, -1) (-3, -1) (-2, 2)"
205,205,What does the vector (-5 2) mean? 5 right and 2 down 5 left and 2 down 5 right and 2 up 5 left and 2 up
206,206,Jo and Paul are talking about creating equations using the diagram on the right. Jo says: 3(2w + r) = 4g Paul says: 2(p + 2w) = 4g Who is correct? Only Jo Only Paul Both Jo and Paul Neither is correct
207,207,What is the size of angle y? 45° 36° 30° Not enough information
208,208,A group of 7 friends shares 3 chocolate bars equally. What fraction of a bar do they each get? 3/7 1/7 1/3 7/3
209,209,Which statement about the temperatures –5°C and 2°C is true? 2°C is 3°C hotter than –5°C 2°C is 7°C hotter than –5°C 2°C is 3°C colder than –5°C 2°C is 7°C colder than –5°C
210,210,"3k - 2 < m Using the diagram on the right, is the expression above... always true sometimes true never true Need more information"
211,211,A common factor of 8 and 20 is... 40 20 8 4
212,212,What word do we use to describe the relationship: 7 × 9 = 5 × 9 + 2 × 9 Commutativity Factors Associativity Distributivity
213,213,"If 12 is a factor of a number, then another factor of that number must be... 5 and 7 4 24 Impossible to say"
214,214,Tom and Katie are arguing about the diagram on the right. Tom says it shows: p + q < 360° Katie says it shows: p + q = 270° Who is correct? Only Tom Only Katie Both Tom and Katie Neither is correct
215,215,"Which of the following triangles does not have the same area as the others? 6, 4 8, 6, 3 5, 8, 3 They all have the same area"
216,216,Which of the following is the best estimate of the size of this angle? 45° 100° 200° 260°
217,217,"k < m/3 + 1 Using the diagram on the right, is the expression above... always true sometimes true never true Need more information"
218,218,Jo and Paul are arguing about quadrilaterals. Jo says a rectangle always has diagonals of equal length. Paul says a parallelogram always has diagonals of equal length. Who is correct? Only Jo Only Paul Both Jo and Paul Neither is correct
219,219,Which of the following symbols should go in the box so that the number sentence is correct? (3)² + (−16) □ (−5)² >  =  <  ≤ 
220,220,\frac{18}{30} = ? 0.54 0.30 0.18 0.6
221,221,This triangle is reflected in the line y = x. Which point is a reflection of the red point? A B C D
222,222,Order the times from longest to shortest. 100 seconds 2 minutes 1 1/2 minutes 1 minute 20 seconds
223,223,Write 60 as a product of prime factors. 2 × 2 × 3 × 1 × 5 2 × 3 × 5 × 5 6 × 10 2 × 3 × 2 × 5
224,224,"The blue shape is rotated 90° anticlockwise about (-2, 2). Which shape gives the correct answer? Shape A Shape B Shape C Shape D"
225,225,"What is the highest common factor of 2, 6 and 9? 1 2 18 They do not have a Highest Common Factor"
226,226,This is a number from the Mayan number system. What number is it? 60 30 100 3
227,227,Which image completes a symmetric figure using the red line of symmetry?    
228,228,"Points P, Q and R are equally spaced along the line segment. The coordinates of P and R are marked on the diagram. What are the coordinates of Q? (-1,2) (-2,4) (-1,3) (-2,2)"
229,229,How many lines of symmetry does this parallelogram have? 0 1 2 4
230,230,"Using the key on the right, which of the following symbols should replace the star in terms of length?

p + q ★ r > < = Need more information"
231,231,"If the two dashed lines are parallel, what is the size of angle p? 75° 85° 95° Not enough information"
